"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2018,1,96,"뉴이스트 W","W, HERE","WHERE YOU AT","","WHERE YOU AT",0,12,1
2018,1,97,"정인, 윤종신","2017 월간 윤종신 12월호","추위","추위","",2,0,0
2018,1,98,"김나영","헤어질 수 밖에","헤어질 수 밖에","헤어질 수 밖에","",8,0,0
2018,1,99,"정승환","또 오해영 OST Part 5","너였다면","너였다면","",4,0,0
2018,1,100,"볼빨간사춘기 (BOL4)","Full Album RED PLANET (Hidden Track)","좋다고 말해","좋다고 말해","",6,0,0
2019,1,1,"벤 (Ben)","180˚","180도","도","",1,0,0
2019,1,2,"엠씨더맥스 (M.C The Max)","Circular","넘쳐흘러","넘쳐흘러","",4,0,0
2019,1,3,"제니 (JENNIE)","SOLO","SOLO","","SOLO",0,4,1
2019,1,4,"하은","신용재","신용재","신용재","",3,0,0
2019,1,5,"청하","벌써 12시","벌써 12시","벌써  시","",5,0,0
2019,1,6,"위너(WINNER)","MILLIONS","MILLIONS","","MILLIONS",0,8,1
2019,1,7,"MINO (송민호)","XX","아낙네","아낙네","",3,0,0
2019,1,8,"폴킴","너를 만나","너를 만나","너를 만나","",5,0,0
2019,1,9,"TWICE","YES or YES","YES or YES","","YES or YES",0,10,1
2019,1,10,"헤이즈 (Heize)","첫눈에","첫눈에","첫눈에","",3,0,0
2019,1,11,"폴킴","`키스 먼저 할까요?` OST Part 3","모든 날, 모든 순간 (Every day, Every Moment)","모든 날  모든 순간","",11,0,1
2019,1,12,"케이윌 (K.Will)","뷰티 인사이드 OST Part.4","내 생에 아름다운","내 생에 아름다운","",9,0,0
2019,1,13,"EXO","LOVE SHOT - The 5th Album Repackage","Love Shot","","Love Shot",0,9,1
2019,1,14,"바이브 (Vibe)","가을 타나 봐","가을 타나 봐","가을 타나 봐","",7,0,0
2019,1,15,"아이유 (IU)","삐삐","삐삐","삐삐","",2,0,0
2019,1,16,"숀 (SHAUN)","안녕","습관 (Bad Habits)","습관","",2,0,1
2019,1,18,"양다일","고백","고백","고백","",2,0,0
2019,1,19,"숀 (SHAUN)","Take","Way Back Home","","Way Back Home",0,13,1
2019,1,20,"허각","흔한 이별","흔한 이별","흔한 이별","",5,0,0
2019,1,21,"비투비 (BTOB)","HOUR MOMENT","아름답고도 아프구나","아름답고도 아프구나","",10,0,0
2019,1,22,"벤 (Ben)","RECIPE","열애중","열애중","",3,0,0
2019,1,23,"임창정","하루도 그대를 사랑하지 않은 적이 없었다","하루도 그대를 사랑하지 않은 적이 없었다","하루도 그대를 사랑하지 않은 적이 없었다","",22,0,0
2019,1,24,"EXO","DON`T MESS UP MY TEMPO - The 5th Album","Tempo","","Tempo",0,5,1
2019,1,25,"임한별","이별하러 가는 길","이별하러 가는 길","이별하러 가는 길","",9,0,0
2019,1,26,"BTS","LOVE YOURSELF 結 `Answer`","IDOL","","IDOL",0,4,1
2019,1,27,"pH-1, Kid Milli, 루피 (Loopy)","쇼미더머니 777 Episode 1","Good Day","","Good Day",0,8,1
2019,1,29,"엠씨더맥스 (M.C The Max)","Circular","사계 (하루살이)","사계","",2,0,0
2019,1,30,"닐로 (Nilo)","About You","지나오다","지나오다","",4,0,0
2019,1,31,"BLACKPINK","SQUARE UP","뚜두뚜두 (DDU-DU DDU-DU)","뚜두뚜두","",4,0,1
2019,1,32,"Wanna One (워너원)","1¹¹=1 (POWER OF DESTINY)","봄바람","봄바람","",3,0,0
2019,1,33,"마마무 (Mamamoo)","BLUE;S","Wind flower","","Wind flower",0,11,1
2019,1,34,"IZ*ONE","COLOR*IZ","라비앙로즈 (La Vie en Rose)","라비앙로즈","",5,0,1
2019,1,35,"김동률","동화","동화","동화","",2,0,0
2019,1,36,"선미","WARNING","사이렌 (Siren)","사이렌","",3,0,1
2019,1,37,"윤건","너도 그냥 날 놓아주면 돼","너도 그냥 날 놓아주면 돼","너도 그냥 날 놓아주면 돼","",14,0,0
2019,1,38,"장덕철","알았다면","알았다면","알았다면","",4,0,0
2019,1,40,"로이킴","우리 그만하자","우리 그만하자","우리 그만하자","",7,0,0
2019,1,41,"TWICE","Summer Nights","Dance The Night Away","","Dance The Night Away",0,20,1
2019,1,42,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)","IM","IndiGO","","IndiGO",0,6,1
